name,size
2805-3319/v=Km0z6PrbUXY__#1_label_A,870.69
3320-3954/v=WpxJJFcWM8s__#1_label_A,662.2
2805-3319/v=-n0GOS3UWL8__#1_label_A,529.91
2005-2804/v=c0GlCjZbVzk__#1_label_A,526.83
1005-2004/NewAdd.Dream.Team.8__#1_label_A,438.6
2805-3319/v=KsjzuLCuV9U__#1_label_B4-0-0,384.64
2005-2804/v=c7reNk6O0ns__#1_label_B4-0-0,377.08
2005-2804/v=ANq9VfsJpJk__#1_label_A,370.71
3320-3954/v=VXB7zNPUX3Y__#1_label_A,339.71
1005-2004/v=5gCHS7CsjsE__#1_label_B4-0-0,317.76
1005-2004/NewAdd.NBA-2017.12.25_CLE@GSW__#00-44-20_01-08-34_label_A,284.77
1005-2004/v=2l5XPZK-55g__#1_label_A,284.74
1005-2004/v=6s0JhcWxNKU__#1_label_A,271.99
2805-3319/v=rQWPigb7qDY__#1_label_A,268.75
2805-3319/v=RyWrcAW6-r8__#1_label_A,265.38
1005-2004/NewAdd.NBA-2017.12.25_CLE@GSW__#00-21-00_00-44-20_label_A,263.78
2805-3319/v=KNM8w4kFiB0__#1_label_A,255.67
1005-2004/NewAdd.NBA-2017.12.25_CLE@GSW__#00-00-00_00-21-00_label_A,254.16
2005-2804/v=hjSknAf3QdI__#1_label_A,252.85
3320-3954/v=xTJcASRxbfI__#1_label_A,252.82
2805-3319/v=MyThli8Qp0Y__#1_label_A,231.25
2805-3319/v=RCnS7w-oyYc__#1_label_A,213.78
3320-3954/v=xs1sW6V3QV8__#1_label_A,204.28
2005-2804/v=HMYi-XH4y9w__#1_label_A,199.86
3320-3954/v=waM5xzhjG48__#1_label_A,198.87
2805-3319/v=LHXgxw6OHX0__#1_label_A,191.97
2805-3319/v=mnIKqIgGclE__#1_label_A,186.37
2005-2804/v=Ix4xrfIVI8Y__#00-00-00_00-33-36_label_A,183.55
2005-2804/v=bJmQIOpADMg__#1_label_A,182.87
2005-2804/v=gtNc8o45ZIo__#1_label_A,179.12
2005-2804/v=DATZ18HhsQw__#1_label_A,178.47
2805-3319/v=lrwKV07iQLE__#1_label_B4-0-0,175.59
2805-3319/v=kjOe4RkFrRw__#1_label_A,173.88
1005-2004/v=1TsUkR8nR7I__#1_label_A,173.33
2005-2804/v=FVJoir1HR9U__#1_label_A,173.28
2805-3319/v=mtY1Nxn6_J4__#1_label_A,170.87
2005-2804/v=arFPbZ_f2AI__#1_label_A,170.19
test_videos/v=KERh4R2BbS0__#1_label_A,169.44
3320-3954/v=udWxy9CzcfU__#1_label_A,163.92
2005-2804/v=dHfQYGGUS4U__#1_label_G-0-0,163.82
3320-3954/v=U6GNhmLnjWU__#1_label_A,163.69
test_videos/v=-5RWxUUJ7lQ__#1_label_A,162.38
test_videos/v=4jVgDKbu_TI__#1_label_A,160.46
2805-3319/v=kLQXPV12IfI__#1_label_A,160.35
2805-3319/v=NM2Ay_VvOEE__#1_label_A,159.45
2005-2804/v=EkMUrBdbrBg__#1_label_A,159.19
3320-3954/v=tb4KREvKYBA__#00-00-00_00-13-30_label_B4-0-0,157.91
2805-3319/v=poDgC0LfsDM__#1_label_A,157.89
2005-2804/v=frYpkIxBPNA__#1_label_A,157.27
1005-2004/v=_VGsAbXOxQ8__#1_label_A,155.59
2005-2804/v=ba4YbfByJfg__#1_label_A,155.43
2005-2804/v=deECYX55Bno__#1_label_A,154.86
2005-2804/v=DmznKoxsaCc__#1_label_A,153.6
2005-2804/v=K3E8wjd6DuE__#1_label_A,151.7
3320-3954/v=XiykWly3WZI__#1_label_A,148.66
3320-3954/v=yGnKHxNVibw__#1_label_A,148.45
2805-3319/v=R_HoYB_fRps__#1_label_A,146.75
3320-3954/v=uNrCG08man8__#1_label_A,145.39
3320-3954/v=vbSM_HvjP4c__#1_label_A,144.42
2005-2804/v=9MDCwQ8_85g__#1_label_A,142.58
2805-3319/v=Kxr-KoIWoPI__#1_label_A,142.08
2005-2804/v=IMvuoGji3yU__#1_label_B4-0-0,139.58
3320-3954/v=Wc55h6-lhJ0__#1_label_A,139.07
2805-3319/v=KvqhpLyR-bE__#1_label_A,138.96
2805-3319/v=ob_XPa4sXVI__#1_label_A,138.23
